vid,utter_id,sentence,label
Ses03F_script03_1,6,"[LAUGHTER]. You mustn't be serious, my dear one, that's what they want.",4
Ses03F_script03_1,7,"Ooh, certainly you must. We're figures of fun, all right.",4
Ses03F_script03_1,8,"Oh dear, well, shall we want that?",1
Ses03F_script03_1,9,"Well, what if happens if one of us is to die? Does the one that's left still laugh?",1
Ses03F_script03_1,10,"Let's blow strumpets, blow-blow trumpets and squeakers and party as much as we can like small quite idiotic school children. Let's savor the delight of the moment. Come, kiss me darling, before worms pop in and out of your eye sockets.",4
Ses03F_script03_1,11,"Thank you, dear. The same applies to you. Except that if I ever so much as catch you looking at another woman I'll kill you.",4
Ses03F_script03_1,12,Remember that awful scene we had in Venice?,4
Ses03F_script03_1,13,Oh Charles. That was his name. Charles. He did wiggle so beautifully.,0
Ses03F_script03_1,14,yeah. And that was the first time you ever hit me.,0
Ses03F_script03_1,15,"That was a rouser, wasn't it?",4
Ses03F_script03_1,16,The manager came in and found us rolling on the floor and biting and scratching like panthers. [LAUGHTER],0
Ses03F_script03_1,17,I know. Oh man. Couldn't believe it.,4
Ses01M_impro03,0,The craziest thing just happened to me.,4
Ses01M_impro03,1,What?,0
Ses01M_impro03,2,This girl; she just offered me fifty thousand dollars to marry her.,4
Ses01M_impro03,3,Why?,4
Ses01M_impro03,4,"Well, she's not a citizen so she wants to get a visa.",2
Ses01M_impro03,5,Is she on the run?,4
Ses01M_impro03,6,"No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years.",4
Ses01M_impro03,7,"Oh, she just needs to marry you.",4
Ses01M_impro03,8,That's incredible. That's awesome. Where's she from?  Maybe you can get a dual citizenship.,4
Ses01M_impro03,9,That's like twenty five thousand dollar a year for doing nothing. Isn't that awesome?,4
Ses01M_impro03,10,"She's actually from England, I think.  Well she- she spoke English but she had an accent. I didn't even ask.",2
Ses01M_impro03,11,That's so cool. Uh huh.,4
Ses01M_impro03,12,[LAUGHTER] Why did she pick you? Where were you?,4
Ses01M_impro03,13,"Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like...",4
Ses01M_impro03,14,You were at a party? And she's like hey. You seem unattached she's like.,4
Ses01M_impro03,15,"Yeah.  Can you believe that? Yeah, she's like hey, I'm like sure I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but...",4
Ses01M_impro03,16,That's unbelievable... Yeah.,4
Ses01M_impro03,17,Well I've known people who have done this before. Yeah.  You just- it's really fun actually 'cause you have like a fake engagement party and all your friends come over and like...,4
Ses01M_impro03,18,It's like I'm really going to get married. We'll have like the whole thing.,4
Ses01M_impro03,19,"Oh, good. [LAUGHTER]",4
Ses01M_impro03,20,"Yeah. Yeah. And then yeah, and then you know like you could like you could do like like sock her for a lot of money",4
Ses01M_impro03,21,I know. What do you think I should-,4
Ses01M_impro03,22,"Like make her rent the apartment that you two have to live together in, you know. And you won't pay any rent or you pay like, a hundred bucks a month or something.",4
Ses01M_impro03,23,Oh good idea.,4
Ses01M_impro03,24,Yeah.  Make her like open the bank account and stuff too.,2
Ses01M_impro03,25,Yeah.,4
Ses01M_impro03,26,It's a good idea.,4
Ses01M_impro03,27,"Dude, you lucked out.",4
Ses01M_impro03,28,I know.  Also I get to like plan the wedding now too. That will be fun.,4
Ses01M_impro03,29,"Yeah.  My colors are blush and beige what is it, do you know?",4
Ses01M_impro03,30,"Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?",4
Ses01M_impro03,31,Oh I don't know. [LAUGHTER],4
Ses01M_impro03,32,I don't know get it in cash.,2
Ses01M_impro03,33,Just cash hardcore.,2
Ses01M_impro03,34,Yeah.,2
Ses01M_impro03,35,What should we do?  Where should we get married? We should have party.,4
Ses01M_impro03,36,How exciting. You should have a wedding on the beach.,4
Ses01M_impro03,37,"Yeah, like a big like- A wedding on the beach, that would be nice.",4
Ses01M_impro03,38,"Yeah, at night.",4
Ses01M_impro03,39,And then we can honeymoon.  I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.,2
Ses01M_impro03,40,"Oh yeah, absolutely, absolutely.",2
Ses01M_impro03,41,How exciting.  You should make her bring all your friends too.,4
Ses01M_impro03,42,I'll make her pay for that.  I hear she's like totally wealthy. She's like royalty- --or something like and- --whatever like removed or something but yeah.,4
Ses01M_impro03,43,[GARBAGE] She's got to be loaded.  fifty thousand dollars.  That's incredible.,4
Ses01M_impro03,44,Incredible.,4
Ses01M_impro03,45,I'm going to marry a blue blood. [LAUGHTER],4
Ses01M_impro03,46,"you're a lucky, lucky, lucky man.",4
Ses01M_impro03,47,Will you help me plan?,4
Ses01M_impro03,48,"Oh, totally. Yeah.",4
Ses02M_impro07,0,"Oh, yeah? Have you gotten letters yet?",4
Ses02M_impro07,1,"Um, I don't know, where?",4
Ses02M_impro07,2,U.S.C..,4
Ses02M_impro07,3,"Oh my Gosh, that's so cool.",4
Ses02M_impro07,4,"[LAUGHTER] It's gotta be it, like-",4
Ses02M_impro07,5,"Oh my Gosh, that's so cool.",4
Ses02M_impro07,6,"but big packet, big packet is nice",4
Ses02M_impro07,7,big packet is gotta be the real thing. yeah,4
Ses02M_impro07,8,"So it's like, yes, rip it open and there it is big - oh, yes.",4
Ses02M_impro07,9,"Oh my Gosh. I thought there was like, maybe going to be some, like I don't know if you are going to get in or not, so I'm really glad that you did.",4
Ses02M_impro07,10,That's so cool.,4
Ses02M_impro07,11,"Yeah. I know, I know.",4
Ses02M_impro07,12,it was you know I wasn't too sure I mean you know it was kind of last minute for like the application,0
Ses02M_impro07,13,and everything like but,0
Ses02M_impro07,14,"Yeah, totally.",4
Ses02M_impro07,15,"it was good, yeah. I mean-",0
Ses02M_impro07,16,So you're going to be right here in Los Angeles; that is so cool.,4
Ses02M_impro07,17,I'm looking forward to it.,4
Ses02M_impro07,18,So can we hang out?,4
Ses02M_impro07,19,"Hey, yes, you know that's - that's what I'm coming for.",4
Ses02M_impro07,20,Yay.,4
Ses02M_impro07,21,You're half the reason I'm going. [LAUGHTER],4
Ses02M_impro07,22,"Oh, yay. Thank you. [LAUGHTER].",4
Ses02M_impro07,23,No but that's an awesome school. That's so cool.,0
Ses02M_impro07,24,"Oh, totally totally.",0
Ses02M_impro07,25,"You know what I mean, I bet the home games, are just like nuts you know.",4
Ses02M_impro07,26,you get to like be a part of that.,0
Ses02M_impro07,27,"Like you get to be a part of that. Like the, like the- Like a cult.",0
Ses02M_impro07,28,What?,4
Ses02M_impro07,29,[LAUGHTER] I know. I mean part of-,4
Ses02M_impro07,30,"[LAUGHTER] like a- like a- [LAUGHTER] No, but I mean like everywhere you go people know who you are.",0
Ses02M_impro07,31,Yeah. Right. A cult. I'm looking forward to being in the cult.,4
Ses02M_impro07,32,"Right I know, like you, it won't hurt, I mean national champions last year, wow, you know",4
Ses02M_impro07,33,Maybe we'll do it again this year.,4
Ses02M_impro07,34,So you know what you are going to do there?,0
Ses02M_impro07,35,"What's that? ahh Well, you know I'm I'm thinking um I'm leaning towards like communications",0
Ses02M_impro07,36,"I-I don't know. Kind of a broad,",0
Ses02M_impro07,37,"Okay. They have a lot of good schools, right?",0
Ses02M_impro07,38,"yeah, I mean a lot-a lot  of good stuff oh, yeah, I mean it's- it's just a really good school; so really, whatever I pick I can't go wrong. I mean I'm just",0
Ses02M_impro07,39,"I'm looking forward to getting there. I mean, God, the campus is cool, you know it's like all just very confined I mean just you know it's a college campus you know it's like",0
Ses02M_impro07,40,"Yes, it's intimate.",0
Ses02M_impro07,41,I know. It's so cool.,4
Ses02M_impro07,42,"Fair for you, Wow, oh my Gosh.",4
Ses02M_impro07,43,I mean you got to - you got to show me the ropes 'cause I've never been there before so I mean you know your way around already and- [LAUGHTER],4
Ses02M_impro07,44,I will do the best I can.,0
Ses02M_impro07,45,"Well, there are all kinds of awesome secrets so you'll really enjoy it. It's really great. I'm so glad.",4
Ses02M_impro07,46,"Oh, alright.",0
Ses02M_impro07,47,"I'm-I'm looking forward to that. [BREATHING] man, So yeah, I think I'm going to come out a little early so I mean I'll give you a call and we'll definitely-",4
Ses02M_impro07,48,Yay,4
Ses02M_impro07,49,"Okay. Yes, totally come visit",4
Ses02M_impro07,50,"and we'll explore and you going to have such a good time, you're going to fit in so well, it's going to be awesome",0
Ses02M_impro07,51,"[LAUGHTER] Thanks, yes, thanks, yes That'll be cool.",4
Ses02M_impro07,52,So Congratulations. That's awesome.,0
Ses02M_impro08,0,All right. Customer service this is Steve.,2
Ses02M_impro08,1,"Hi. Thank you so much, you're a real person, right, you're not like a recording?",4
Ses02M_impro08,2,"Okay. Before I get into it, um your menu or whatever like where you choose the different thing depending on the-",4
Ses02M_impro08,3,"it leads you around in circles, you can't, there is no way to like get to a real person if you don't already know how to get to there.",4
Ses02M_impro08,4,"Right. No, yes I know. It is-It is a little frustrating.",2
Ses02M_impro08,5,"So is there any way to like bypass that because that is so, like I've been going around in circles",5
Ses02M_impro08,6,"like press nine, press zero, press back to the menu, like I can't get through to what I'm supposed to get through to.",5
Ses02M_impro08,7,"I- I'll give you a little hint, next time if it asks if you're on a rotary phone you know, just stay on the line instead of - instead of hitting one or two to say if you're like on a touch tone",2
Ses02M_impro08,8,"pretend like your on a rotary phone, goes straight through to a person.",2
Ses02M_impro08,9,"Okay. Oh, that would just make it so much better, 'cause I cannot handle it's just like oh, my God I can't sit here any longer and talk to this lady with this pleasant voice.",5
Ses02M_impro08,10,I know they don't tell you that kind of thing.,2
Ses02M_impro08,11,"Sorry. Okay. Um-, yes",2
Ses02M_impro08,12,"Thank you very much. Um  So I have a charge on my credit card that, um, isn't mine.",2
Ses02M_impro08,13,"Uh, I don't know where it came from and it's actually quite large, and I don't have the money for it so",2
Ses02M_impro08,14,it really freaks me out when I got my bill because it was like I don't -- I didn't spend this. This is not my charge.,5
Ses02M_impro08,15,"Yea. All right. Well, let me-let me look it up here for a second. Uh, so i think",2
Ses02M_impro08,16,"Okay, it was um- at the [GARBAGE] sorry, it was at a department store, I think it was Macy's or something",2
Ses02M_impro08,17,"Okay, Alright, yeah. I- I see it on here.",2
Ses02M_impro08,18,"and it was like something like eight hundred dollars. I don't remember. It was just a lot and I have thing in front of me right now, but-",5
Ses02M_impro08,19,"All right. Well, you know that's, that's what we have all of our protection plans for and everything like that so I mean it's",2
Ses02M_impro08,20,it- it'll work out fine.,2
Ses02M_impro08,21,"Yes, we'll get- we'll get rid of it right now. I mean just we're going to have to have you, um, submit something you know, we're going to have to have you mail something in for us, okay.",2
Ses02M_impro08,22,"So- So you can um find that application. You have the Internet, you can go to our website.",2
Ses02M_impro08,23,Yeah. Yeah. You get the form right now. and- yeah,2
Ses02M_impro08,24,"We could mail it to you as well, but-",2
Ses02M_impro08,25,"Right. You can go online, print it out, and just fill out the form and um- send it to us um- you know,  regarding the grievance and-",2
Ses02M_impro08,26,and it'll get taken off um- no problem you know,2
Ses02M_impro08,27,'Cause I-I just don't know how someone could have gotten my charge information,5
Ses02M_impro08,28,Right. I mean we might,2
Ses02M_impro08,29,Okay.,2
Ses02M_impro08,30,"Uh, I mean have you been shopping around on the Internet and stuff? I mean that you gave-",2
Ses02M_impro08,31,I did buy one thing on ebay I don't know that might-,2
Ses02M_impro08,32,"Uh-ha, I mean usually sites are pretty well protected but sometimes I mean information gets out, so",2
Ses02M_impro08,33,so it is a little a little hard in that situation if you want -- you know you can -um- we can- we can issue another credit card.,2
Ses02M_impro08,34,"Yeah, yeah. Maybe we'll, uh-",2
Ses02M_impro08,35,it's a different number and everything,2
Ses02M_impro08,36,Yeah. yeah.,2
Ses02M_impro08,37,"Yes, um but  for- for that- for that charge we will need you to send something in but we can get you processed immediately for this, for this, for this new card. It still goes to the same address, right?",2
Ses02M_impro08,38,Okay. All right. Then we'll get it sent out there. And,2
Ses02M_impro08,39,Great.,0
Ses02M_impro08,40,And you know just I mean be careful in the future if um,2
Ses02M_impro08,41,Yeah.,0
Ses02M_impro08,42,if you're ever online or anything like that I mean just make sure it's a secure site and,2
Ses02M_impro08,43,"and never you know, give it to anyone out, never even give out your number to any like unreliable company that you haven't heard of or anything like that, all right? Because, um, we want to- we definitely want to help you out, but-",2
Ses02M_impro08,44,"Right, right.",2
Ses02M_impro08,45,"Okay, great.",2
Ses02M_impro08,46,"Yeah, totally.",2
Ses02M_impro08,47,you know it gets- it gets difficult you know so Alright.,2
Ses02M_impro08,48,Well thank you so much. You've been very helpful. I really appreciate it.,0
Ses02M_impro08,49,"Alright Yes, I'm sorry for all the inconvenience but we'll get it taken care of.",2
Ses02M_impro08,50,Thank you very much bye.,0
Ses02F_script01_1,0,Did you talk to him?,1
Ses02F_script01_1,1,He cried hard?,1
Ses02F_script01_1,2,What was he doing out here at that hour?,1
Ses02F_script01_1,3,What do you want to do argue with him?,5
Ses02F_script01_1,4,Why shouldn't he dream of him and walk the nights waiting for him?  Do we contradict him?  Do we say straight out that we don't have any hope anymore?  That we haven't had hope for years now?,3
Ses02F_script01_1,5,You can't say that to him.,5
Ses02F_script01_1,6,We've got to say it to him.,5
Ses02F_script01_1,7,Can you prove it?  How can you prove it?,5
Ses02F_script01_1,8,"For God sakes, it's been three years.  Nobody comes back after three years.  It's insane.",3
Ses02F_script01_1,9,"To you it is and to me, but not to him.  I mean, you can talk yourself blue in the face, but he--there's no body and no grave so where are you?",5
Ses02F_script01_1,10,All right.  All right.  Listen to me.  You know why I brought Annie here don't you?,5
Ses02F_script01_1,11,"I've got an idea, but what's the story?",1
Ses02F_script01_1,12,I'm gonna ask her to marry me.,2
Ses02F_script01_1,13,"Well, that's only your business, Chris.",2
Ses02F_script01_1,14,You know it's not only my business.,5
Ses02F_script01_1,15,What do you want me to do?  You're old enough to know your own mind.,3
Ses02F_script01_1,16,So it's all right then?,5
Ses02F_script01_1,17,I'll go ahead with it?,5
Ses02F_script01_1,18,"Well, then it isn't just my business--",3
Ses02F_script01_1,19,I'm just saying that--,2
Ses02F_script01_1,20,She's not Larry's girl.,3
Ses02F_script01_1,21,"From your father's point of view, he isn't dead.  And you've no right to take his girl.",5
Ses02F_script01_1,22,"And you can go on from there if you know where to go, but I don't know where to go.  See, I don't know.  Now what can I do for you?",5
Ses02F_script01_1,23,"I don't know why, but, every time I reach out for something that I want, I have to pull back 'cause someone else will suffer.  My whole bloody life.  Time after time after time.",5
Ses02F_script01_1,24,You're a considerate fellow.  There's nothing wrong with that.,2
Ses02F_script01_1,25,To hell with that.,3
Ses02F_script01_1,26,[BREATHING] Have you asked Annie yet?,2
Ses02F_script01_1,27,"Well, how do you know she'll marry you?  Maybe she feels the same way your father does.",2
Ses02F_script01_1,28,"Well, if she does, then that's the end of it.  But from her letters, I think she's forgotten him.  I'll find out.  And then we'll thrash it out with Dad, right?  Mom, don't avoid me.",1
Ses02F_script01_1,29,"Trouble is, you don't see enough women.",1
Ses02F_script01_1,30,You never did.,5
Ses02F_script01_1,31,I just don't see why it has to be Annie.,5
Ses02F_script01_1,32,Because it is.,2
Ses02F_script01_1,33,"Well, that's a good answer, but it doesn't answer anything.  I mean, you've been away for--at war.  It's been five years.",5
Ses02F_script01_1,34,"These years when I think of a wife, I think of Annie.  What do you want, a diagram?",5
Ses02F_script01_1,35,"I don't want a diagram.  Umm-- He thinks he's coming back, Chris.  You marry that girl and you're pronouncing him dead.",5
Ses02F_script01_1,36,"I mean, what's gonna happen to your father?  Do you know?  I don't.",5
Ses02F_script01_1,37,"All right.  All right, then, Mom.",5
Ses02F_script01_1,38,I just--give it some more thought.,5
Ses02F_script01_1,39,I've given it three years of thought.  I thought that if I waited Dad would forget about Larry and we could have a regular wedding and everything happy.,5
Ses02F_script01_1,40,Are you crazy?,3
Ses02F_script01_1,41,I've been a good son too long.  A good sucker.  I'm through with it.,3
Ses02F_script01_1,42,What about the business?  What the hell is this?,3
Ses02F_script01_1,43,The business?  The business doesn't inspire me.,3
Ses02F_script01_1,44,Must you be inspired?,3
Ses02F_script01_1,45,"Yes.  I like it an hour a day.  If I'm gonna grub for my money all day long, at least in the evening I want it beautiful.",3
Ses02F_script01_1,46,"Yes, on this I would.",2
Ses02F_script01_1,47,"Well, you don't want to think like that.",3
Ses02F_script01_1,48,"I know.  I know, Mom.  Just help me stay here.",5
Ses02F_script01_1,49,"All right.  Just-- just don't go thinkin' that way, you hear me?",5
Ses02F_script01_1,50,I am thinkin' that way.,2
Ses02F_script01_1,51,"I don't understand you, do I?",5
Ses02F_script01_1,52,"No, you don't.  I'm a pretty tough guy.",2
Ses02F_script01_1,53,I can see that.,1
Ses02M_script02_2,0,So what do you think?,2
Ses02M_script02_2,1,What I was saying.,2
Ses02M_script02_2,2,It's ridiculous.,5
Ses02M_script02_2,3,Certainly it's not. Slightly exaggerated scientific fact.,2
Ses02M_script02_2,4,"Carla, can I ask you something? Don't take this wrong but are you having your period?",5
Ses02M_script02_2,5,Goddamn it Augie don't ask me that. I hate it when you ask me that. You always ask me that. It's insulting.,3
Ses02M_script02_2,6,"Well, what's bugging you?",5
Ses02M_script02_2,7,We just have different ideas of what this evening is supposed to look like.,3
Ses02M_script02_2,8,"There is nothing to it, we come here, the Grunion arrive, then do their little fish business, we go oh ah look, they go home, we go home.",5
Ses02M_script02_2,9,For heavens sake we are not going to see the Grunions.,5
Ses02M_script02_2,10,Why not?,5
Ses02M_script02_2,11,"We never do, do we? I mean have we ever?",5
Ses02M_script02_2,12,We've missed them twice; that's not ever.,5
Ses02M_script02_2,13,"Twice is every time we've tried, that's ever.",5
Ses02M_script02_2,14,"Well, we'll see them this year.",2
Ses02M_script02_2,15,"No we won't; it's pointless. It's like waiting up to see Santa Claus,",5
Ses02M_script02_2,16,I mean I feel like my whole life is going to be spent standing on the beach waiting for the fish to show up with my eyes open and my hands clasped expectantly and the fish won't show up.,3
Ses02M_script02_2,17,I thought you wanted to see them.,5
Ses02M_script02_2,18,You don't understand anything I'm saying.,5
Ses02M_script02_2,19,No of course not.,5
Ses02M_script02_2,20,"I did want to see them, I always do. I mean I keep thinking that this is going to be the time and it never is.",3
Ses02M_script02_2,21,For heavens sake this isn't about fish.,5
Ses02M_script02_2,22,All right. I've been trying to work this backwards but I cannot seem to pinpoint the moment that we took a turn for the worst.,5
Ses02M_script02_2,23,"You were fine during the phone call from Marge, dinner was okay, doing the dishes was no problem, let's see, I took a shower, you watched the news, you said",2
Ses02M_script02_2,24,"""the Grunion are running tonight,"" I said ""great, let's go, I feel lucky,""",2
Ses02M_script02_2,25,"okay so I'm getting on my jacket and putting out the animals, getting the car out of the garage-",2
Ses02M_script02_2,26,Do you remember the first time we came to see it? It was about four years ago right after we got married.,1
Ses02M_script02_2,27,"We thought I was pregnant and we opened a bottle of champagne but no glasses, you asked me to dance, we kicked off our shoes and you popped the cork.",1
Ses02M_script02_2,28,And when we were dancing you said the softest most intimate things to me right into my ears so I could feel them as much as hear them,1
Ses02M_script02_2,29,"and I remember thinking that this is it you know. At last, at last I am as happy as I am supposed to be",1
Ses02M_script02_2,30,"Just dancing barefoot in the sand, drinking champagne out of the bottle.",1
Ses02M_script02_2,31,"It was in the car, right? Driving past the Knickerbocker Liquor Locker you said, let's get some champagne and I said times are wasting or something like that, right?",4
Ses02M_script02_2,32,"Of course, I see it now; you want this to be like that other time, right? That's it, right?",4
Ses02M_script02_2,33,I'd rather not remember some things. I would rather not hope for some things.,1
Ses02M_script02_2,34,"Yea. Okay, sure, no. I see. Listen, you want to dance?",2
Ses02M_script02_2,35,No.,1
Ses02M_script02_2,36,You want to go get some champagne?,2
Ses02M_script02_2,37,No.,1
Ses02M_script02_2,38,Take off our shoes?,2
Ses02M_script02_2,39,Get married again?,2
Ses02M_script02_2,40,No.,5
Ses02M_script02_2,41,What? What? You want a divorce?,5
Ses02M_script02_2,42,No.,5
Ses02M_script02_2,43,A vacation?,5
Ses02M_script02_2,44,No.,5
Ses02M_script02_2,45,"A new carpet? A poodle, a ice cream, backrub, a suicide pact, what, what Carla, what the hell do you want?",5
Ses02M_script02_2,46,I want something to turn out the way that it supposed to.,5
Ses02M_script02_2,47,"Well welcome to the human race, all right. Do you think this is what I had in mind when I proposed? You think I had this great fantasy going that four years down the road we'd come to the beach and yell at each other over fish?",3
Ses02M_script02_2,48,"No, no, just like you I thought it was going to be all like peaches and roses and sand in our toes, and wind in our hair, and the fish will always come and the bills will pay themselves and we'll have three, fat, rosy kids and ha-ha baby the joke is on us",5
Ses02M_script02_2,49,"'cause you know what you get Carla, you know what you get? This.",5
Ses02M_script02_2,50,"This? What, what is this? This isn't even anything.",5
Ses02M_script02_2,51,"I'm sure, this is standing on the beach, this is waiting, this is fighting.",5
Ses02M_script02_2,52,"Well, but this isn't anything like I thought anything would be like.",1
Ses02M_script02_2,53,"No, I know. Me neither.",1
Ses02M_script02_2,54,I mean it's -- this is just this. I mean it includes a lot and everything but isn't something else. Do you have any idea what I'm trying to say?,5
Ses02M_script02_2,55,"I know that you meant this to be special and nice, and there's the sand and the moon and everything but I just couldn't help thinking about being somewhere else.",1
Ses02M_script02_2,56,Maybe if you were with somebody else too.,1
Ses02M_script02_2,57,"No, I know. But still, I know I don't make you happy.",1
Ses02M_script02_2,58,Don't be ridiculous. I mean don't you know that?,0
Ses02M_script02_2,59,"You're the one who probably wishes he was with someone else, someone who knew how to enjoy herself and didn't take everything so hard.",1
Ses02M_script02_2,60,"Now that you mention it. No, I don't.",0
Ses02M_script02_2,61,I don't know it seemed like a pretty good spot to me. Look at the moon - view the moon view I got from here.,0
Ses02M_script02_2,62,What have we got here?,0
Ses02M_script02_2,63,"Well, I guess we don't need glasses.",0
Ses02M_script02_2,64,"Augie, I'm sorry.",1
Ses02M_script02_2,65,"Shh, if we're very quiet the fish might come.",0
Ses02M_script02_2,66,Or not.,0
Ses02M_script02_2,67,Or not.,0
Ses02M_script02_2,68,Hmm.,2
Ses03M_impro05b,0,Can I help you sir?,2
Ses03M_impro05b,1,I've been here for four hours and I don't know where one piece of my luggage is,5
Ses03M_impro05b,2,Okay.  Well let's...well I'm going to go ahead and check on that for you.  You're coming from...where are you coming from?,2
Ses03M_impro05b,3,Baltimore.,5
Ses03M_impro05b,4,Baltimore and this is a direct flight to LAX,2
Ses03M_impro05b,5,Yes.,5
Ses03M_impro05b,6,Okay.  Let's look up here,2
Ses03M_impro05b,7,You know and they've looked it up before and it's not there.,5
Ses03M_impro05b,8,Okay.  Well you um-...,2
Ses03M_impro05b,9,Now what are you going to do for me different? Hmm?,5
Ses03M_impro05b,10,"What I can do for you is uh we can uh report lost, lost property.",2
Ses03M_impro05b,11,You can report lost property?,5
Ses03M_impro05b,12,Yes.,2
Ses03M_impro05b,13,"Okay.  I'm leaving LA tomorrow for San Diego, driving there.  So, I'm going to leave without all my lost property?  That's what you want me to do? um",5
Ses03M_impro05b,14,"Well sir, if if...what I believe has happened is most of the flight was left--",2
Ses03M_impro05b,15,the luggage was left in Baltimore.  Therefore--,2
Ses03M_impro05b,16,Most of the...,3
Ses03M_impro05b,17,"Like the luggage, the luggage on the flight.",2
Ses03M_impro05b,18,No actually it was...this is the first time this has ever happened.  I don't know what happened--,2
Ses03M_impro05b,19,"Are you going to refund us for our luggage, refund us for our tickets for this?",5
Ses03M_impro05b,20,"Well, we can give you um- hotel lodging for a night if that--",2
Ses03M_impro05b,21,I'm going to San Diego tomorrow to stay with my family.  What do I need hotel lodging for hmmm?  Can you tell me that?,3
Ses03M_impro05b,22,For tonight- For tonight sir.  Would you need to stay somewhere tonight?,2
Ses03M_impro05b,23,We can do Holiday Inn or...?,2
Ses03M_impro05b,24,Wow.  Thank you.  Holiday Inn.  Wow.  Thank...the flight cost five hundred dollars.,3
Ses03M_impro05b,25,Sir I understand that but just--,2
Ses03M_impro05b,26,"Okay, so you can put me in Holiday Inn for twenty dollar a night?",3
Ses03M_impro05b,27,Did you have your name tags on the luggage?,2
Ses03M_impro05b,28,Of course I had my name tags on the luggage.,3
Ses03M_impro05b,29,"Okay.  So if you can just give me your name, your name and your address and your phone number I can contact you as soon as we find out more information.",2
Ses03M_impro05b,30,Soon as you...that's not good enough okay?,3
Ses03M_impro05b,31,"Sir, please calm down.",5
Ses03M_impro05b,32,I need you to help me out here.  Can you get on the phone and get the luggage over on the fastest flight you can and then maybe I won't get you fired.,5
Ses03M_impro05b,33,"If not, I'm going to get your name, I'm going to talk to your boss, whoever...I'm never going to fly...my business is never going to fly Delta again.",5
Ses03M_impro05b,34,What is your business?,2
Ses03M_impro05b,35,I work for IBM.,2
Ses03M_impro05b,36,"Okay.  Sir?  I am sorry to tell you this but this does happen. Uh- This is not uh- really,",2
