Sr No.,Utterance,miss,actual,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
46,What?,False,,Monica,neutral,neutral,4,1,4,14,"0:08:43,439","0:08:43,951"
47,It kicked! I think the baby kicked!,False,,Phoebe,surprise,positive,4,2,4,14,"0:08:43,951","0:08:45,488"
48,Oh my God!,False,,Monica,surprise,positive,4,3,4,14,"00:08:45,608","00:08:46,900"
49,"Oh no wait, oh no, the elastic on my underwear busted.",False,,Phoebe,neutral,neutral,4,4,4,14,"00:08:47,068","00:08:50,820"
50,Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,True,fear,Joey,fear,negative,4,5,4,14,"00:08:52,532","00:08:58,328"
51,"Oh wait, Joey, you cant go like that! You stink!",False,,Monica,disgust,negative,4,6,4,14,"00:08:58,496","00:09:00,830"
52,"Look, I know I feel asleep before I could shower and now I dont have time!",True,neutral,Joey,anger,negative,4,7,4,14,"00:09:00,998","00:09:03,750"
53,"Theyre just ten blocks away, if I run, I can make it.",True,anger,Joey,neutral,neutral,4,8,4,14,"00:09:03,918","00:09:06,419"
54,Youre coming on to the entire room!  Im Chandler.,False,,Chandler,anger,negative,5,0,4,20,"00:14:37,960","00:14:50,179"
55,Hi.,False,,Chandler,neutral,neutral,5,1,4,20,"0:14:48,095","0:14:48,947"
56,Hi.,False,,Marjorie,neutral,neutral,5,2,4,20,"0:14:48,947","0:14:50,229"
57,You mind if I,False,,Chandler,neutral,neutral,5,3,4,20,"0:14:50,347","0:14:50,769"
58,"No, please.",False,,Marjorie,neutral,neutral,5,4,4,20,"0:14:50,769","0:14:52,353"
59,"So uh, what are you in for?",False,,Chandler,neutral,neutral,5,5,4,20,"00:14:52,474","00:14:53,892"
60,I talk in my sleep.,False,,Marjorie,neutral,neutral,5,6,4,20,"00:14:54,059","00:14:55,560"
61,"What a coincidence, I listen in my sleep.",True,neutral,Chandler,neutral,neutral,5,7,4,20,"00:14:54,059","00:14:57,896"
62,So why dont you give me your number?,True,surprise,Joey,neutral,neutral,5,8,4,20,"00:15:00,024","00:15:02,275"
63,Previously on Friends.,False,,Joey,neutral,neutral,6,0,3,16,"00:00:02,711","00:00:05,796"
64,I dont know exactly. Its-its sorta like wrestling.,True,neutral,Monica,neutral,neutral,6,1,3,16,"00:03:23,661","00:03:26,246"
65,Oh?!,True,fear,Phoebe,surprise,negative,6,2,3,16,"00:03:26,456","00:03:28,707"
66,"Yeah, but without the costumes.",True,disgust,Monica,neutral,neutral,7,0,3,24,"00:03:26,456","00:03:28,707"
67,Oh.,False,,Phoebe,neutral,neutral,7,1,3,24,"00:03:28,875","00:03:30,459"
68,"And its not fake, its totally brutal.",False,,Joey,neutral,neutral,7,2,3,24,"00:03:30,627","00:03:32,878"
69,"Yeah, its two guys in a ring, and the rules are: Theyre",False,,Chandler,neutral,neutral,7,3,3,24,"00:03:33,129","00:03:37,341"
70,"So you can like, bite, and pull peoples hair and stuff?",False,,Monica,surprise,negative,7,4,3,24,"00:03:38,218","00:03:40,761"
71,"Yeah, anything goes, except ah, eye gouging and fish hooking.",True,anger,Ross,neutral,neutral,7,5,3,24,"00:03:41,012","00:03:44,264"
72,Whats fish hooking?,False,,Monica,surprise,negative,7,6,3,24,"00:03:44,474","00:03:46,924"
73,"Huh, whats fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",False,,Ross,neutral,neutral,7,7,3,24,"00:03:44,474","00:03:54,399"
74,"What? My hands are totally clean, I just gave the duck a bath.",False,,Joey,neutral,neutral,7,8,3,24,"00:03:55,068","00:03:58,654"
75,"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",True,sadness,Jade,sadness,negative,8,0,2,5,"00:16:47,631","00:16:57,223"
76,"Well, that makes me feel so good.",False,,Chandler,joy,positive,8,1,2,5,"00:16:59,810","00:17:02,437"
77,It was just so awkward and bumpy.,True,neutral,Jade,neutral,neutral,8,2,2,5,"0:17:03,272","0:17:05,704"
78,Bumpy?,True,surprise,Ross,surprise,negative,8,3,2,5,"0:17:05,704","0:17:05,961"
79,"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",False,,Chandler,neutral,neutral,8,4,2,5,"00:17:07,818","00:17:12,155"
80,And uh maybe you have to get used to it.,False,,Chandler,neutral,neutral,8,5,2,5,"00:17:12,948","00:17:14,574"
81,"Well there really wasn't much time to get used to it, you know what I mean?",True,joy,Jade,joy,positive,8,6,2,5,"00:17:14,742","00:17:18,244"
82,Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,False,,Phoebe,fear,negative,9,0,6,18,"00:05:02,927","00:05:08,724"
83,"Oh well, its not so bad.",False,,Monica,neutral,neutral,9,1,6,18,"00:05:08,891","00:05:10,684"
84,"Yeah, most of the damage is pretty mostly contained in the bedrooms.",False,,Fireman #1,sadness,negative,9,2,6,18,"00:05:10,852","00:05:12,978"
85,Oh!,False,,Phoebe,surprise,negative,9,3,6,18,"0:05:13,146","0:05:13,939"
86,My God!,False,,Rachel,surprise,negative,9,4,6,18,"0:05:13,939","0:05:14,203"
87,"Hey buddy, do you think I can borrow your uniform this Thursday?",False,,Joey,neutral,neutral,9,5,6,18,"00:05:14,355","00:05:17,556"
88,Excuse me?,False,,Fireman #1,surprise,positive,9,6,6,18,"00:05:18,443","00:05:21,361"
89,Joey! Hes working!  You would look,False,,Monica,anger,negative,9,7,6,18,"00:05:18,443","00:05:24,031"
90,"Oh, how bad is it?",False,,Joey,sadness,negative,9,8,6,18,"00:05:25,199","00:05:28,618"
91,"Oh, its bad. Its really bad. The only thing in there that isnt burned is an ass. Which I do",False,,Phoebe,sadness,negative,9,9,6,18,"00:05:25,199","00:05:34,416"
92,Hows your room Rach?,False,,Chandler,neutral,neutral,9,10,6,18,"00:05:34,625","00:05:36,835"
93,Everythings ruined. My bed. My clothes. Look at my favorite blue sweater.,False,,Rachel,sadness,negative,9,11,6,18,"00:05:37,003","00:05:39,546"
94,Isnt that mine?,False,,Monica,neutral,neutral,9,12,6,18,"00:05:39,714","00:05:40,756"
95,Fine! Im sorry for your loss!,True,fear,Rachel,anger,negative,9,13,6,18,"00:05:41,841","00:05:44,426"
96,"So uh, youre not gonna be able to live here for a while, you ladies have a place to stay?",False,,Fireman #1,neutral,neutral,9,14,6,18,"00:05:46,220","00:05:51,767"
97,"Wow! Oh-okay, look pal, I am",True,sadness,Rachel,joy,positive,9,15,6,18,"00:05:51,934","00:05:58,398"
98,"Yes, they can stay with us.",False,,Monica,neutral,neutral,9,16,6,18,"00:06:04,155","00:06:06,490"
99,Have you figured out what started the fire Mr. Fireman?,False,,Chandler,neutral,neutral,9,17,6,18,"00:06:06,657","00:06:09,284"
104,"Well Phoebe, we gotta do something!",True,sadness,Rachel,sadness,negative,11,0,7,24,"00:09:52,967","00:09:54,718"
106,I mean theres no way Joeys gonna make it in time.,False,,Rachel,fear,negative,11,1,7,24,"0:09:54,969","0:09:57,431"
107,So Im gonna go through the hotel and see if theres any other weddings going on.,False,,Rachel,neutral,neutral,11,2,7,24,"0:09:57,431","0:09:59,578"
108,Okay. Oh but dont tell them Monicas pregnant because they frown on that.,False,,Phoebe,neutral,neutral,11,3,7,24,"00:09:59,765","00:10:04,269"
109,Okay.,False,,Rachel,neutral,neutral,11,4,7,24,"00:10:04,437","00:10:05,770"
111,"Whats all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",False,,Ross,anger,negative,12,0,6,3,"00:12:31,167","00:12:39,966"
112,"Ross, we can handle this.",True,joy,Monica,neutral,neutral,12,1,6,3,"00:12:41,510","00:12:44,637"
113,"Well, apparently not, and I cant just stand by and watch two people I care about very much be hurt over something that is so silly.",False,,Ross,sadness,negative,12,2,6,3,"00:12:44,805","00:12:53,271"
114,"I mean, enough of the silliness!",False,,Ross,anger,negative,12,3,6,3,"0:12:55,691","0:12:58,073"
115,"Well, why dont you tell her to stop being silly!",False,,Chandler,anger,negative,12,4,6,3,"0:12:58,073","0:13:00,407"
116,Okay-okay!,False,,Ross,anger,negative,12,5,6,3,"00:13:02,923","00:13:04,741"
117,"Two very good points, look Ive known you both a long time, and Ive never seen either of you one/millionth as happy as youve been since youve got together.",True,anger,Ross,sadness,negative,12,6,6,3,"00:13:06,243","00:13:19,464"
118,Do you really want to throw that all away over a room?,False,,Ross,sadness,negative,12,7,6,3,"00:13:20,633","00:13:24,385"
119,That is so silly.,False,,Ross,joy,positive,12,8,6,3,"00:13:24,553","00:13:26,846"
120,"Now wh-what is more important, love or silliness?",False,,Ross,neutral,neutral,12,9,6,3,"00:13:27,389","00:13:32,310"
121,"Well, we are fond of the silliness, but we also have a soft spot for the love.",False,,Chandler,neutral,neutral,12,10,6,3,"00:13:33,938","00:13:39,400"
122,Love is the best medicine.,False,,Monica,joy,positive,12,11,6,3,"0:13:40,319","0:13:41,911"
123,Thats laughter.,False,,Chandler,joy,positive,12,12,6,3,"0:13:41,911","0:13:42,880"
124,Why do you do it?,False,,Monica,neutral,neutral,12,13,6,3,"0:13:42,988","0:13:43,572"
125,I dont know.,False,,Chandler,neutral,neutral,12,14,6,3,"0:13:43,572","0:13:44,954"
126,"Okay! All right! Now, Chandler you-you wanna live with Monica, right?",False,,Ross,neutral,neutral,12,15,6,3,"00:13:49,537","00:13:53,873"
127,"Yeah, I do.",False,,Chandler,neutral,neutral,12,16,6,3,"00:13:55,125","00:13:56,543"
128,"And Mon, you wanna live with Chandler, dont ya?",False,,Ross,neutral,neutral,12,17,6,3,"00:13:56,710","00:13:59,045"
129,Yes.,False,,Monica,neutral,neutral,12,18,6,3,"00:13:59,255","00:14:00,380"
130,Good! A verbal contract is binding in the state of New York!,False,,Ross,joy,positive,12,19,6,3,"00:14:00,548","00:14:04,217"
131,Oh.,False,,Roger,neutral,neutral,13,0,1,13,"00:19:48,687","00:19:49,854"
132,"But I don't. Me, Phoebe.",False,,Phoebe,neutral,neutral,13,1,1,13,"00:19:50,022","00:19:52,648"
133,"Well, I'm not I'm not at all surprised they feel that way.",False,,Roger,neutral,neutral,13,2,1,13,"00:19:54,860","00:19:57,111"
134,"You're not? See, that's why you're so great!",False,,Phoebe,surprise,positive,13,3,1,13,"00:19:57,321","00:19:59,739"
135,"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.",False,,Roger,neutral,neutral,13,4,1,13,"00:20:00,115","00:20:06,662"
136,"Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!",False,,Roger,anger,negative,13,5,1,13,"00:20:06,872","00:20:20,384"
137,Define me!,True,sadness,Roger,anger,negative,13,6,1,13,"00:20:21,845","00:20:26,307"
138,"Love me, I need love!",True,fear,Roger,anger,negative,13,7,1,13,"00:20:26,516","00:20:29,310"
171,Hey. When you guys were kids and you played,False,,Ross,neutral,neutral,17,0,3,7,"00:01:58,868","00:02:01,995"
172,I was always Joanne.,False,,Monica,neutral,neutral,17,1,3,7,"00:02:02,205","00:02:05,874"
173,"Question. Was ah, Egg the Gellers! the war cry of your neighbourhood?",False,,Joey,neutral,neutral,17,2,3,7,"00:02:06,042","00:02:10,295"
174,Ewww! Oh! Its the Mattress King!,False,,Phoebe,disgust,negative,17,3,3,7,"00:02:12,257","00:02:14,049"
176,Dont look honey. Change the channel! Change the channel!,False,,Chandler,disgust,negative,17,4,3,7,"00:02:14,217","00:02:15,884"
177,"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine.",False,,Janice,joy,positive,17,5,3,7,"00:02:16,052","00:02:21,974"
178,What a wank!,False,,Chandler,anger,negative,17,6,3,7,"00:02:40,994","00:02:42,870"
179,"Oh, I cannot believe hes using our divorce to sell mattresses.",False,,Janice,anger,negative,17,7,3,7,"00:02:43,037","00:02:47,082"
180,I know!,False,,Monica,anger,negative,17,8,3,7,"00:02:47,250","00:02:51,420"
181,"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.",False,,Monica,anger,negative,17,9,3,7,"00:02:51,588","00:02:53,922"
182,And Im appalled for you by the way.,False,,Monica,anger,negative,17,10,3,7,"00:02:56,050","00:02:58,886"
183,"You had to do it, didnt you? You couldnt just leave it alone.",False,,Rachel,sadness,negative,17,11,3,7,"00:13:45,741","00:13:47,909"
184,Four percent. Okay. I tip more than that when theres a bug in my food.,False,,Ross,disgust,negative,17,12,3,7,"00:13:48,077","00:13:52,580"
185,"Ross, tonight was about the two of you getting along.  Oh, would you just see my chiropractor, already.",False,,Rachel,anger,negative,17,13,3,7,"00:13:52,748","00:13:58,628"
186,"Yeah, Im gonna go to a doctor who went to school in a mini-mall.",False,,Ross,disgust,negative,17,14,3,7,"00:13:58,796","00:14:02,882"
187,"Hey Pheebs, what are you doing?",False,,Ross,neutral,neutral,17,15,3,7,"00:14:07,221","00:14:09,222"
188,"Im, Im freaking out!",False,,Phoebe,fear,negative,17,16,3,7,"00:14:09,390","00:14:12,225"
189,Monica kinda trusted me with something and she shouldnt have!,False,,Phoebe,fear,negative,17,17,3,7,"00:14:14,270","00:14:18,147"
190,"All right, I havent lived here in a while, so I have to ask you something.",False,,Phoebe,neutral,neutral,17,18,3,7,"00:14:18,315","00:14:21,276"
191,Does Monica still turn on the lights in her bedroom?,False,,Phoebe,neutral,neutral,17,19,3,7,"00:14:21,443","00:14:23,820"
192,Um. yeah.,False,,Rachel,neutral,neutral,17,20,3,7,"0:14:25,614","0:14:26,636"
193,I am,False,,Phoebe,neutral,neutral,17,21,3,7,"0:14:26,636","0:14:27,962"
194,"All right, look, heres the bottom line Ross, this is fixable, if we act fast, okay.",False,,Rachel,neutral,neutral,17,22,3,7,"00:14:30,536","00:14:35,164"
195,"So, Ill invite him to brunch tomorrow and you can make nice.",False,,Rachel,neutral,neutral,17,23,3,7,"00:14:35,332","00:14:38,126"
196,"Look, honey, I have tried to make nice, it doesnt work.",False,,Ross,anger,negative,17,24,3,7,"00:14:38,294","00:14:41,546"
197,"Okay, look, Ross, I realise that my Father is difficult, but thats why you have got to be the bigger man here.",False,,Rachel,neutral,neutral,17,25,3,7,"00:14:41,755","00:14:47,677"
198,"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldnt make any difference, except that I could pick your Father up and say Like me!",False,,Ross,anger,negative,17,26,3,7,"00:14:47,845","00:15:00,023"
199,Like me tiny doctor!,True,disgust,Ross,anger,negative,17,27,3,7,"00:14:55,644","00:15:00,023"
200,"Okay, well cant you just try it one more time Ross? For me? For me?",False,,Rachel,sadness,negative,17,28,3,7,"00:15:01,817","00:15:05,320"
201,"Rachel one brunch is not gonna solve anything. You gotta face it, okay were never gonna get along.",False,,Ross,anger,negative,17,29,3,7,"00:15:05,487","00:15:10,575"
202,"Okay, well you are just gonna have too, okay.",True,anger,Rachel,anger,negative,17,30,3,7,"00:15:10,743","00:15:12,994"
203,"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I dont wanna have to have a separate room for you too!",True,anger,Rachel,anger,negative,17,31,3,7,"00:15:13,162","00:15:18,917"
205,"Okay, okay, okay.  Ill get the bagels.",True,anger,Ross,neutral,neutral,17,32,3,7,"00:15:21,837","00:15:23,671"
206,"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?",True,anger,Rachel,neutral,neutral,18,0,6,1,"00:04:22,679","00:04:27,933"
207,"All right, then you'd better show me some of that too then.",True,sadness,Joey,neutral,neutral,18,1,6,1,"00:04:29,600","00:04:31,895"
208,"Okay, it's missing something. Ooh, I know! Umm, okay.",True,disgust,Rachel,neutral,neutral,18,2,6,1,"00:04:33,523","00:04:39,069"
210,It's not a purse! It's a shoulder bag.,True,disgust,Rachel,anger,negative,20,0,5,13,"00:04:45,285","00:04:48,161"
211,It looks like a women's purse.,False,,Joey,neutral,neutral,20,1,5,13,"00:04:48,871","00:04:50,872"
212,"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,",False,,Rachel,neutral,neutral,20,2,5,13,"00:04:51,582","00:04:58,547"
213,"See look,",True,fear,Joey,neutral,neutral,20,3,5,13,"00:04:59,465","00:05:02,134"
214,Exactly! Unisex!,False,,Rachel,neutral,neutral,20,4,5,13,"00:05:16,107","00:05:18,150"
215,Maybe you need sex.,False,,Joey,neutral,neutral,20,5,5,13,"00:05:18,401","00:05:21,528"
216,No! No Joey! U-N-I-sex.,False,,Rachel,joy,positive,20,6,5,13,"00:05:23,072","00:05:26,616"
217,"Well, I ain't gonna say no to that.",False,,Joey,neutral,neutral,20,7,5,13,"00:05:28,328","00:05:30,704"
227,Hey!,False,,Chandler,joy,positive,22,0,5,5,"0:18:17,554","0:18:18,186"
228,Hi.,True,anger,Monica,neutral,neutral,22,1,5,5,"0:18:18,186","0:18:20,776"
229,"I just came over to drop offnothing. So that weekend kinda sucked, huh?",False,,Chandler,neutral,neutral,22,2,5,5,"00:18:21,100","00:18:31,109"
230,"Yeah, it did.",False,,Monica,joy,positive,22,3,5,5,"00:18:31,902","00:18:33,111"
231,"So, I guess this is over.",False,,Chandler,sadness,negative,22,4,5,5,"00:18:33,821","00:18:35,905"
232,What?,False,,Monica,neutral,neutral,22,5,5,5,"00:18:37,382","00:18:39,867"
233,"Well, y'know, you and me, it had to end sometime.",True,neutral,Chandler,sadness,negative,22,6,5,5,"00:18:37,382","00:18:41,744"
234,"Why, exactly?",False,,Monica,surprise,negative,22,7,5,5,"00:18:42,746","00:18:44,247"
235,"Because of the weekend, we had a fight.",False,,Chandler,sadness,negative,22,8,5,5,"00:18:44,581","00:18:46,833"
236,Chandler that's crazy!,False,,Monica,surprise,positive,22,9,5,5,"00:18:47,000","00:18:49,502"
237,If you give up every time you'd have a fight with someone you'd never be with anyone longer thanOhhh!,False,,Monica,anger,negative,22,10,5,5,"00:18:49,670","00:18:59,512"
238,"So, this isn't over?",False,,Chandler,neutral,neutral,22,11,5,5,"00:19:03,183","00:19:04,517"
239,You are so cute!,False,,Monica,joy,positive,22,12,5,5,"00:19:06,520","00:19:08,563"
240,No.,False,,Monica,joy,positive,22,13,5,5,"0:19:10,941","0:19:12,653"
241,"No, it was a fight.",False,,Monica,neutral,neutral,22,14,5,5,"0:19:12,653","0:19:13,715"
242,You deal with it and move on!,False,,Monica,joy,positive,22,15,5,5,"0:19:13,819","0:19:16,113"
243,It's nothing to freak out about.,False,,Monica,neutral,neutral,22,16,5,5,"0:19:16,113","0:19:18,227"
244,Really? Okay. Great!,False,,Chandler,joy,positive,22,17,5,5,"00:19:18,866","00:19:21,826"
245,"Ohh, welcome to an adult relationship!",False,,Monica,joy,positive,22,18,5,5,"00:19:22,202","00:19:24,996"
246,We're in a relationship?,False,,Chandler,surprise,negative,22,19,5,5,"00:19:28,917","00:19:30,251"
247,I'm afraid so.,False,,Monica,neutral,neutral,22,20,5,5,"0:19:33,463","0:19:34,673"
248,Okay.,False,,Chandler,neutral,neutral,22,21,5,5,"0:19:34,673","0:19:36,575"
252,Can I tell you a little secret?,False,,Phoebe,neutral,neutral,24,0,5,3,"0:09:36,200","0:09:37,582"
253,Yeah!,False,,Rachel,joy,positive,24,1,5,3,"0:09:37,582","0:09:38,121"
254,I want to keep one.,False,,Phoebe,neutral,neutral,24,2,5,3,"00:09:39,120","00:09:40,996"
255,"Ohh, I'm gonna be on the news!",True,joy,Rachel,joy,positive,24,3,5,3,"00:09:45,876","00:09:47,877"
257,What? Honey.,False,,Monica,neutral,neutral,25,0,3,21,"00:04:13,503","00:04:15,170"
258,"Oh, I am, my side still hurts from when you crashed into me yesterday.",False,,Rachel,neutral,neutral,25,1,3,21,"00:04:15,338","00:04:18,799"
259,"Oh God, Im so sorry.",False,,Monica,sadness,negative,25,2,3,21,"0:04:18,967","0:04:20,279"
260,I know.,False,,Rachel,neutral,neutral,25,3,3,21,"0:04:20,279","0:04:20,655"
261,Ow!!,False,,Rachel,anger,negative,25,4,3,21,"0:04:20,655","0:04:20,817"
262,Oh God!,False,,Monica,surprise,negative,25,5,3,21,"00:04:20,885","00:04:22,511"
263,"Hey, you guys! Guess what?",False,,Ross,joy,positive,25,6,3,21,"00:04:23,763","00:04:25,722"
264,Got a job on a river boat?,False,,Rachel,neutral,neutral,25,7,3,21,"00:04:29,727","00:04:31,270"
265,"Y'know what I didnt wear this suit for a year because you hated it. Well, guess what? Youre not my girlfriend anymore so...",False,,Ross,anger,negative,25,8,3,21,"00:04:33,564","00:04:38,902"
266,"Oh I see, so this suit is making a point.",False,,Rachel,neutral,neutral,25,9,3,21,"00:04:39,070","00:04:41,571"
268,"Now that youre on youre own, youre free to look as stupid as you like.",False,,Rachel,anger,negative,25,10,3,21,"00:04:41,739","00:04:44,908"
269,You like it right?,False,,Ross,neutral,neutral,25,11,3,21,"00:04:46,703","00:04:47,703"
270,Oh absolutely. I like it even more on you than I did on Colonel Sanders.  Ross! Ross! Im kidding!,False,,Monica,neutral,neutral,25,12,3,21,"00:04:47,870","00:04:54,376"
271,"Yeah, come here!",True,neutral,Rachel,neutral,neutral,25,13,3,21,"00:04:51,708","00:04:54,376"
272,What-what was it you were gonna tell us?,True,neutral,Monica,neutral,neutral,25,14,3,21,"0:04:54,544","0:04:57,464"
273,Yeah. Oh! Was how you invented the cotton gin?!,False,,Rachel,neutral,neutral,25,15,3,21,"0:04:57,464","0:04:57,604"
274,"Okay, good bye!",False,,Ross,anger,negative,25,16,3,21,"00:04:57,714","00:04:58,797"
275,Hey I got one! I got one!,True,anger,Joey,joy,positive,26,0,1,9,"00:12:22,771","00:12:25,649"
278,"Oh uh, up or down?",False,,Man,neutral,neutral,28,0,8,23,"0:12:29,737","0:12:30,699"
279,Oh down please.  I-I hate to be a ball buster can I just do it?,False,,Phoebe,joy,positive,28,1,8,23,"0:12:30,699","0:12:33,472"
280,Could you press up too please?,False,,Man,neutral,neutral,28,2,8,23,"00:12:42,541","00:12:45,127"
281,Sure! I feel so bad for you. I broke my leg once too.,False,,Phoebe,sadness,negative,28,3,8,23,"0:12:46,670","0:12:49,465"
282,Oh yeah? Howd yours happen?,False,,Man,neutral,neutral,28,4,8,23,"0:12:49,465","0:12:51,026"
283,"Well, its a long story.",True,neutral,Phoebe,neutral,neutral,28,5,8,23,"0:12:51,175","0:12:52,302"
284,Its kind of embarrassing.,True,neutral,Phoebe,neutral,neutral,28,6,8,23,"0:12:52,302","0:12:53,656"
285,Lets just say there was a typographical error with a sex manual.,False,,Phoebe,joy,positive,28,7,8,23,"00:12:53,761","00:12:57,848"
286,How about you?,True,neutral,Phoebe,neutral,neutral,28,8,8,23,"0:12:59,934","0:13:00,644"
287,Car accident.,True,anger,Man,sadness,negative,28,9,8,23,"0:13:00,644","0:13:01,766"
289,"Oh, let me guess some idiot on a cell phone wasnt paying attention?",False,,Man,neutral,neutral,28,10,8,23,"00:13:01,936","00:13:06,690"
290,"Yeah. Me.  Oh hey, thats me.  Hey uh, I take it youre just visiting someone.",False,,Man,neutral,neutral,28,11,8,23,"00:13:04,690","00:13:14,657"
291,"Uh-huh, yeah.",False,,Phoebe,neutral,neutral,28,12,8,23,"00:13:14,865","00:13:15,908"
292,"Well umm, if you have sometime yknow and maybe you might want to visit someone else",False,,Man,neutral,neutral,28,13,8,23,"00:13:16,075","00:13:20,246"
293,Oh yeah! I-I would like that.,False,,Phoebe,joy,positive,28,14,8,23,"00:13:20,496","00:13:22,206"
295,Wait! What?! No!! Elevator!! No!,False,,Phoebe,anger,negative,28,15,8,23,"00:13:22,273","00:13:28,170"
296,"Uh, you gotta press the button.",False,,Joey,neutral,neutral,28,16,8,23,"00:13:28,379","00:13:30,798"
317,"Yes!! Yes! Yes! Yes!! Thats my Dad, thats Frank! Yeah! Im sorry Im getting all flingy.",True,surprise,Phoebe,surprise,positive,32,0,3,25,"00:05:53,186","00:06:00,442"
318,"Take it easy--if you want, theres cookies on the counter, or, or--sangria!  I can make sangria!",False,,Phoebe Sr,joy,positive,32,1,3,25,"00:06:00,651","00:06:06,156"
319,"No-no, sorry. Cookies are good, thanks.",False,,Phoebe,neutral,neutral,32,2,3,25,"0:06:06,324","0:06:09,119"
320,Oh.,False,,Phoebe Sr,neutral,neutral,32,3,3,25,"0:06:09,119","0:06:09,303"
321,"Well, so, umm, anyway umm, Ive been, Ive been looking for my Father, and umm, have you heard from him, or seen him?",False,,Phoebe,neutral,neutral,32,4,3,25,"00:06:09,827","00:06:19,336"
322,"Oh no, I-Im sorry, I guess we lost track of everybody after high school.",False,,Phoebe Sr,sadness,negative,32,5,3,25,"00:06:18,000","00:06:22,047"
323,"Oh, okay. Well, so tell me everything about my parents. Everything.",False,,Phoebe,neutral,neutral,32,6,3,25,"00:06:23,758","00:06:29,429"
324,"Ohh, well. Y'know we were always together, in fact the had a nickname for the three of us.",False,,Phoebe Sr,neutral,neutral,32,7,3,25,"00:06:29,597","00:06:35,018"
325,"Oh, what? What was it?",False,,Phoebe,surprise,positive,32,8,3,25,"0:06:35,186","0:06:36,658"
